title,price,publisher,author,discount,url,source,page
Paraf Yayınları TYT IQ Paragraf Soru Kütüphanesi,381.65,PARAF Yayınları,Kolektif,15,https://www.bkmkitap.com/paraf-yayinlari-tyt-iq-paragraf-soru-kutuphanesi,bkmkitap.com,5
Miray Yayınları Miray TYT Matematik Soru Bankası,269.5,Miray Yayınları,Kolektif,30,https://www.bkmkitap.com/miray-tyt-matematik-soru-bankasi,bkmkitap.com,5
Acil Yayınları TYT Matematik Soru Bankası,339.15,Acil Yayınları,Kolektif,15,https://www.bkmkitap.com/acil-yayinlari-tyt-matematik-soru-bankasi,bkmkitap.com,5
KR Akademi Yayınları Barış Hoca TYT Dr. Biyoloji Video Ders Kitabı,129.0,KR Akademi Yayınları,Barış Kapan,0,https://www.bkmkitap.com/baris-hoca-tyt-dr-biyoloji-video-ders-kitabi,bkmkitap.com,5
Benim Hocam Yayınları TYT - KPSS Taktiklerle Dil Bilgisi Tamamı Video Çözümlü Soru Bankası,183.4,Benim Hocam Yayınları,Kadir Gümüş,30,https://www.bkmkitap.com/2023-tyt-kpss-taktiklerle-dil-bilgisi-tamami-video-cozumlu-soru-bankasi-benim-hocam-yayinlari,bkmkitap.com,5
Miray Yayınları TYT Kimya Konu Özetli Soru Bankası,236.84,Miray Yayınları,Selin Candır,38,https://www.bkmkitap.com/tyt-kimya-soru-bankasi-miray-yayinlari,bkmkitap.com,5
Aktif Öğrenme Yayınları AYT Aktif Matematik 0 dan Başlayanlara,279.65,Aktif Öğrenme Yayınları,Mehmet Koç,15,https://www.bkmkitap.com/ayt-aktif-matematik-0-dan-baslayanlara-aktif-ogrenme-yayinlari,bkmkitap.com,5
3D Yayınları 2025 TYT Fizik Soru Bankası,260.4,3D Yayınları,Alper Emrah Gümüş,30,https://www.bkmkitap.com/2023-tyt-fizik-soru-bankasi-3d-yayinlari,bkmkitap.com,5
Bilgi Sarmal Yayınları TYT Türkçe 12 li Yıldızlar Yarışıyor Branş Denemesi,174.25,Bilgi Sarmal Yayınları,Kolektif,15,https://www.bkmkitap.com/bilgi-sarmal-yayinlari-tyt-turkce-12-li-yildizlar-yarisiyor-brans-denemesi,bkmkitap.com,5
3D Yayınları TYT Sosyal Bilimler Simülasyon Denemeleri,119.0,3D Yayınları,Kolektif,30,https://www.bkmkitap.com/tyt-sosyal-bilimler-simulasyon-denemeleri,bkmkitap.com,5
2024 TYT Coğrafya Tamamı Çözümlü Soru Bankası Öğrenme Pekiştirme Kendini Deneme Testleri Benim Hocam Yayınları,186.2,Benim Hocam Yayınları,Bayram Meral,30,https://www.bkmkitap.com/2023-tyt-cografya-tamami-video-cozumlu-soru-bankasi-benim-hocam-yayinlari,bkmkitap.com,5
